trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN008973F14014~TGF91172,13:13:00,13:13:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008985F25025~TGF91180,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008985F25025~TGF91180,19:48:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008985F25025~TGF91180,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008985F25025~TGF91180,20:50:00,21:04:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008985F25025~TGF91180,21:43:00,21:46:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
OCESN008985F25025~TGF91180,22:12:00,22:12:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008985F39039~TGF91177,18:44:00,18:44:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008985F39039~TGF91177,19:47:00,19:50:00,StopPoint:OCETGV INOUI-87396408,1,"",0,0,
OCESN008985F39039~TGF91177,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008985F39039~TGF91177,20:50:00,21:03:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008985F39039~TGF91177,21:44:00,21:47:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
OCESN008985F39039~TGF91177,22:12:00,22:12:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008973F52052~TGF91173,09:39:00,09:39:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008973F52052~TGF91173,10:34:00,10:37:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008973F52052~TGF91173,11:13:00,11:16:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008973F52052~TGF91173,11:54:00,12:05:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008973F52052~TGF91173,12:46:00,12:49:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
OCESN008973F52052~TGF91173,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008973F54054~TGF91175,09:25:00,09:25:00,StopPoint:OCETGV INOUI-87391003,0,"",0,0,
OCESN008973F54054~TGF91175,10:27:00,10:30:00,StopPoint:OCETGV INOUI-87396002,1,"",0,0,
OCESN008973F54054~TGF91175,11:07:00,11:10:00,StopPoint:OCETGV INOUI-87484006,2,"",0,0,
OCESN008973F54054~TGF91175,11:50:00,12:05:00,StopPoint:OCETGV INOUI-87481002,3,"",0,0,
OCESN008973F54054~TGF91175,12:46:00,12:49:00,StopPoint:OCETGV INOUI-87486019,4,"",0,0,
OCESN008973F54054~TGF91175,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87486449,5,"",0,0,
OCESN008985F3903912687,18:44:00,18:44:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008985F3903912687,19:47:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008985F3903912687,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008985F3903912687,20:50:00,21:03:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008985F3903912687,21:44:00,21:47:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008985F3903912687,22:12:00,22:12:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008985F2702712686,18:42:00,18:42:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008985F2702712686,19:48:00,19:50:00,StopPoint:OCETGV-87396408,1,"",0,0,
OCESN008985F2702712686,20:10:00,20:13:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008985F2702712686,20:50:00,21:04:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008985F2702712686,21:43:00,21:46:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008985F2702712686,22:12:00,22:12:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008973F5405412677,09:25:00,09:25:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008973F5405412677,10:27:00,10:30:00,StopPoint:OCETGV-87396002,1,"",0,0,
OCESN008973F5405412677,11:07:00,11:10:00,StopPoint:OCETGV-87484006,2,"",0,0,
OCESN008973F5405412677,11:50:00,12:05:00,StopPoint:OCETGV-87481002,3,"",0,0,
OCESN008973F5405412677,12:46:00,12:49:00,StopPoint:OCETGV-87486019,4,"",0,0,
OCESN008973F5405412677,13:14:00,13:14:00,StopPoint:OCETGV-87486449,5,"",0,0,
OCESN008973F5205212675,09:39:00,09:39:00,StopPoint:OCETGV-87391003,0,"",0,0,
OCESN008973F5205212675,10:34:00,10:37:00,StopPoint:OCETGV-87396002,1,"",0,0,
