Origine;Destination;Prix d'appel  2nde;Plein tarif Loisir couchette 2nde;Plein tarif Loisir couchette 1ère;Plein tarif Loisir  Siège inclinable
LUZENAC GARANOU;LES AUBRAIS - ORLÉANS;35.0;121.0;179.0;96.0
LATOUR DE CAROL ENVEITG;LES CABANNES;;10.7;16.1;10.7
LES CABANNES;SAVERDUN;;11.7;17.5;11.7
SAVERDUN;VIERZON VILLE;35.0;121.0;179.0;96.0
AUTERIVE (31);LIMOGES BENEDICTINS;35.0;101.0;148.0;70.0
ST JEAN DE LUZ CIBOURE;BIARRITZ;;3.3;5.0;3.3
AX LES THERMES;TARASCON SUR ARIEGE;;5.5;8.2;5.5
IRUN;ST JEAN DE LUZ CIBOURE;;3.5;5.3;3.5
PORTE PUYMORENS;LUZENAC GARANOU;;7.7;11.5;7.7
CRANSAC;FIGEAC;;6.4;9.5;6.4
EMBRUN;PARIS AUSTERLITZ;35.0;147.0;222.0;112.0
GAP;PARIS AUSTERLITZ;35.0;139.0;208.0;104.0
PARIS BERCY;LES ARCS DRAGUIGNAN;35.0;160.0;247.0;129.0
ALBI MADELEINE;Rodez;;15.0;22.5;15.0
LUZENAC GARANOU;PAMIERS;;10.3;15.4;10.3
CAHORS;SOUILLAC;;12.8;19.1;12.8
SOUILLAC;LES AUBRAIS - ORLÉANS;35.0;107.0;157.0;69.0
L'ARGENTIERE LES ECRINS  (05);DIE;;27.1;40.6;27.1
CARMAUX;CRANSAC;;19.9;29.9;19.9
BAYONNE;TARBES;;27.8;41.7;27.8
EMBRUN;DIE;;22.2;33.3;22.2
PARIS GARE DE LYON;ANTIBES;35.0;160.0;247.0;129.0
ALBI VILLE;ROCAMADOUR PADIRAC;15.0;31.9;47.8;31.9
MONTAUBAN VILLE BOURBON;SOUILLAC;;22.1;33.1;22.1
ST JEAN DE LUZ CIBOURE;PAU;;22.4;33.5;22.4
EMBRUN;PARIS GARE DE LYON;35.0;147.0;222.0;112.0
MONTAUBAN VILLE BOURBON;Caussade;;5.3;7.9;5.3
HENDAYE;ST JEAN DE LUZ CIBOURE;;3.3;5.0;3.3
