Origine;Destination;Prix d'appel  2nde;Tarif normal 2nde;Tarif normal 1ère;empty;empty
LISON;CHERBOURG;;14.1;21.1;;
ALENÇON;ECOMMOY;;14.2;21.4;;
OISSEL;BRÉAUTÉ-BEUZEVILLE;;14.4;21.6;;
COARRAZE-NAY;LANNEMEZAN;;14.8;22.2;;
LANGRES;VESOUL;;15.4;23.1;;
AMIENS;RANG-DU FLIERS;;15.6;23.4;;
NIVERSAC;TULLE (+ REBROUSSEMENT);;16.2;24.3;;
ORTHEZ;TARBES;;17.8;26.7;;
CREIL;ST QUENTIN;;18.3;27.4;;
LES AUBRAIS;BOURGES;;20.2;30.3;;
MANTES-LA-JOLIE;YVETOT;;21.4;32.0;;
PARIS NORD;CHAUNY;;21.8;32.7;;
TROYES;LANGRES;;22.7;34.0;;
CREIL;BUSIGNY;;22.7;34.0;;
MONTARGIS;NEVERS;;23.4;35.0;;
VIERZON;MOULINS SUR ALLIER;;23.9;35.9;;
ST-JUST-EN-CHAUSSÉE;ETAPLES LE TOUQUET;;24.9;37.4;;
LE MANS;CAEN;10;27.9;41.9;;
NEMOURS;NEVERS;10;28.1;42.1;;
ONZAIN;PARIS AUSTERLITZ;10;31.2;46.7;;
NOGENT SUR SEINE;CULMONT CHALINDREY;10;31.6;47.4;;
TROYES;VESOUL;10;33.7;50.5;;
PARIS NORD;RANG DU FLIERS VERTON;15;33.9;50.9;;
ANGERS ST LAUD;VIERZON;10;34.2;51.2;;
ETAPLES LE TOUQUET;PARIS NORD;15;35.2;52.9;;
LA CHARITE;PARIS GARE DE BERCY;15;35.4;53.0;;
ST JEAN DE LUZ;MONTRÉJEAU;10;37.1;55.6;;
ANGERS ST LAUD;NEVERS;15;46.5;69.8;;
SAUMUR RIVE DROITE;LYON PART DIEU;20;66.2;99.3;;
ANGERS;LYON PART DIEU;15;72.5;108.7;;
PEYREHORADE;LOURDES;;19.9;29.9;;
SAUMUR;LYON VAISE;20;66.2;99.3;;
VERNON;GAILLON-AUBEVOYE;;3.3;5.0;;
CLERMONT FERRAND;RIOM;;3.5;5.3;;
ST ASTIER;PÉRIGUEUX;;4.0;5.9;;
GÉNOLHAC;GRAND COMBES-LA PISE;;4.6;6.9;;
ST JEAN DE LUZ;BAYONNE;;5.3;7.9;;
VALOGNES;CHERBOURG;;6.4;9.5;;
LURE;BELFORT;;7.2;10.8;;
BRÉVAL;EVREUX;;7.9;11.8;;
PAU;LOURDES;;8.3;12.5;;
COMPIÈGNE;CHAUNY;;8.5;12.7;;
ROCHEFORT;SAINTES;;9.1;13.7;;
PONT STE MAXENCE;NOYON;;9.5;14.2;;
MUSSIDAN;NIVERSAC;;9.6;14.4;;
LISIEUX;CAEN;;9.8;14.6;;
ISSOIRE;ST GEORGES D'AURAC;;11.5;17.3;;
BEUIL;BEAUMONT LE ROGER;;12.2;18.2;;
CHAUNY;CAUDRY;;12.9;19.3;;
PÉRIGUEUX;BRIVE LA GAILLARDE;;13.9;20.9;;
BERNAY;CAEN;;14.7;22.0;;
PARIS NORD;COMPIÈGNE;;15.4;23.1;;
LANGEAC;LA BASTIDE ST LAURENT;;15.7;23.6;;
CHAUNY;MAUBEUGE;;18.6;27.8;;
BAYONNE;COARRAZE-NAY;;21.5;32.3;;
COUTRAS;CONDAT LE LARDIN;;21.8;32.7;;
PÉRIGUEUX;EGLETONS;;23.4;35.0;;
ORTHEZ;LANNEMEZAN;;23.6;35.5;;
